product_id;category;sub_category;product_name;price
FUR-FU-10001934;Furniture;Furnishings;Magnifier Swing Arm Lamp;41.96
OFF-AR-10000380;Office Supplies;Art;Hunt PowerHouse Electric Pencil Sharpener, Blue;30.38
OFF-BI-10003981;Office Supplies;Binders;"Avery Durable Plastic 1"" Binders";2.72
OFF-FA-10000621;Office Supplies;Fasteners;OIC Colored Binder Clips, Assorted Sizes;10.74
OFF-EN-10002600;Office Supplies;Envelopes;Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2;4.72
OFF-PA-10004965;Office Supplies;Paper;Xerox 1921;15.98
OFF-EN-10002504;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;21.74
FUR-TA-10001768;Furniture;Tables;Hon Racetrack Conference Tables;210.01
OFF-BI-10003650;Office Supplies;Binders;GBC DocuBind 300 Electric Binding Machine;157.79
FUR-FU-10002157;Furniture;Furnishings;Artistic Insta-Plaque;47.04
OFF-ST-10000777;Office Supplies;Storage;Companion Letter/Legal File, Black;37.76
OFF-EN-10002500;Office Supplies;Envelopes;Globe Weis Peel & Seel First Class Envelopes;12.78
TEC-PH-10003875;Technology;Phones;KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7;29.16
FUR-CH-10004063;Furniture;Chairs;Global Deluxe High-Back Manager's Chair;457.57
FUR-TA-10004534;Furniture;Tables;Bevis 44 x 96 Conference Tables;370.62
OFF-BI-10003274;Office Supplies;Binders;Avery Durable Slant Ring Binders, No Labels;1.59
OFF-ST-10002974;Office Supplies;Storage;Trav-L-File Heavy-Duty Shuttle II, Black;43.57
FUR-CH-10001146;Furniture;Chairs;Global Task Chair, Black;60.89
FUR-FU-10003773;Furniture;Furnishings;Eldon Cleatmat Plus Chair Mats for High Pile Carpets;159.04
TEC-PH-10002293;Technology;Phones;Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5;23.99
OFF-PA-10002377;Office Supplies;Paper;Xerox 1916;17.04
OFF-FA-10002780;Office Supplies;Fasteners;Staples;8.94
OFF-PA-10001804;Office Supplies;Paper;Xerox 195;5.34
OFF-PA-10001736;Office Supplies;Paper;Xerox 1880;35.44
OFF-AR-10001149;Office Supplies;Art;Sanford Colorific Colored Pencils, 12/Box;3.9
OFF-FA-10002988;Office Supplies;Fasteners;Ideal Clamps;4.02
OFF-BI-10004781;Office Supplies;Binders;GBC Wire Binding Strips;9.52
OFF-SU-10001218;Office Supplies;Supplies;Fiskars Softgrip Scissors;21.96
OFF-AR-10000940;Office Supplies;Art;Newell 343;2.94
OFF-EN-10004030;Office Supplies;Envelopes;Convenience Packs of Business Envelopes;2.9
OFF-PA-10004327;Office Supplies;Paper;Xerox 1911;47.9
OFF-AP-10001058;Office Supplies;Appliances;Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators;447.7
FUR-FU-10000521;Furniture;Furnishings;"Seth Thomas 14"" Putty-Colored Wall Clock";58.68
TEC-PH-10000215;Technology;Phones;Plantronics Cordless Phone Headset with In-line Volume - M214C;69.9
TEC-PH-10001448;Technology;Phones;Anker Astro 15000mAh USB Portable Charger;39.99
OFF-BI-10002735;Office Supplies;Binders;GBC Prestige Therm-A-Bind Covers;51.47
OFF-AP-10000326;Office Supplies;Appliances;Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection;157.92
TEC-PH-10001254;Technology;Phones;Jabra BIZ 2300 Duo QD Duo Corded Headset;203.18
OFF-PA-10001950;Office Supplies;Paper;Southworth 25% Cotton Antique Laid Paper & Envelopes;20.02
OFF-PA-10002254;Office Supplies;Paper;Xerox 1883;26.38
OFF-ST-10001590;Office Supplies;Storage;Tenex Personal Project File with Scoop Front Design, Black;10.78
OFF-AR-10001547;Office Supplies;Art;Newell 311;2.21
OFF-LA-10002475;Office Supplies;Labels;Avery 519;11.7
TEC-PH-10004536;Technology;Phones;Avaya 5420 Digital phone;269.98
OFF-PA-10002751;Office Supplies;Paper;Xerox 1920;5.98
TEC-AC-10003657;Technology;Accessories;Lenovo 17-Key USB Numeric Keypad;54.38
OFF-EN-10001990;Office Supplies;Envelopes;Staple envelope;11.36
OFF-BI-10004002;Office Supplies;Binders;Wilson Jones International Size A4 Ring Binders;10.38
OFF-AR-10004441;Office Supplies;Art;BIC Brite Liner Highlighters;8.28
TEC-MA-10000822;Technology;Machines;Lexmark MX611dhe Monochrome Laser Printer;2549.99
OFF-ST-10000991;Office Supplies;Storage;Space Solutions HD Industrial Steel Shelving.;229.94
FUR-CH-10004287;Furniture;Chairs;SAFCO Arco Folding Chair;220.96
OFF-AR-10002656;Office Supplies;Art;Sanford Liquid Accent Highlighters;10.69
OFF-AP-10002518;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece Power Center;177.98
TEC-PH-10003931;Technology;Phones;JBL Micro Wireless Portable Bluetooth Speaker;95.98
OFF-PA-10000659;Office Supplies;Paper;Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”;11.17
OFF-PA-10001144;Office Supplies;Paper;Xerox 1913;110.96
FUR-CH-10003817;Furniture;Chairs;Global Value Steno Chair, Gray;60.74
OFF-AP-10000891;Office Supplies;Appliances;Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center;52.45
OFF-LA-10003148;Office Supplies;Labels;Avery 51;18.9
OFF-AP-10002684;Office Supplies;Appliances;Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection;48.63
FUR-CH-10004698;Furniture;Chairs;Padded Folding Chairs, Black, 4/Carton;64.78
OFF-SU-10002189;Office Supplies;Supplies;Acme Rosewood Handle Letter Opener;11.91
OFF-AR-10001940;Office Supplies;Art;Sanford Colorific Eraseable Coloring Pencils, 12 Count;3.28
OFF-ST-10003455;Office Supplies;Storage;Tenex File Box, Personal Filing Tote with Lid, Black;24.82
TEC-AC-10004659;Technology;Accessories;Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive 16GB;408.74
TEC-PH-10003273;Technology;Phones;AT&T TR1909W;302.38
TEC-PH-10004896;Technology;Phones;Nokia Lumia 521 (T-Mobile);53.98
TEC-AC-10002345;Technology;Accessories;HP Standard 104 key PS/2 Keyboard;23.2
OFF-BI-10001890;Office Supplies;Binders;Avery Poly Binder Pockets;2.86
TEC-AC-10002323;Technology;Accessories;SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card;35.36
OFF-ST-10001328;Office Supplies;Storage;Personal Filing Tote with Lid, Black/Gray;15.51
FUR-BO-10002613;Furniture;Bookcases;Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors;449.57
TEC-PH-10001552;Technology;Phones;I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink;19.14
OFF-PA-10000061;Office Supplies;Paper;Xerox 205;20.74
OFF-AR-10003514;Office Supplies;Art;4009 Highlighters by Sanford;6.37
OFF-AR-10004685;Office Supplies;Art;Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set;7.41
OFF-AR-10004027;Office Supplies;Art;Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box;4.03
OFF-ST-10001414;Office Supplies;Storage;Decoflex Hanging Personal Folder File;46.26
OFF-BI-10000343;Office Supplies;Binders;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";1.96
OFF-PA-10002749;Office Supplies;Paper;Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page;16.06
OFF-PA-10002666;Office Supplies;Paper;Southworth 25% Cotton Linen-Finish Paper & Envelopes;21.74
FUR-TA-10004289;Furniture;Tables;BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables;218.75
OFF-AP-10003622;Office Supplies;Appliances;Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack;2.6
OFF-AP-10003217;Office Supplies;Appliances;Eureka Sanitaire  Commercial Upright;66.28
FUR-FU-10002960;Furniture;Furnishings;Eldon 200 Class Desk Accessories, Burgundy;15.07
TEC-PH-10001918;Technology;Phones;Nortel Business Series Terminal T7208 Digital phone;222.38
OFF-ST-10000642;Office Supplies;Storage;Tennsco Lockers, Gray;41.96
TEC-PH-10001700;Technology;Phones;Panasonic KX-TG6844B Expandable Digital Cordless Telephone;52.79
OFF-FA-10000134;Office Supplies;Fasteners;Advantus Push Pins, Aluminum Head;5.81
OFF-ST-10001522;Office Supplies;Storage;Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h;91.99
TEC-AC-10001266;Technology;Accessories;Memorex Micro Travel Drive 8 GB;20.8
OFF-LA-10004544;Office Supplies;Labels;Avery 505;23.68
FUR-BO-10004695;Furniture;Bookcases;O'Sullivan 2-Door Barrister Bookcase in Odessa Pine;289.57
TEC-MA-10000864;Technology;Machines;Cisco 9971 IP Video Phone Charcoal;1188
TEC-AC-10000109;Technology;Accessories;Sony Micro Vault Click 16 GB USB 2.0 Flash Drive;89.58
TEC-PH-10002563;Technology;Phones;Adtran 1202752G1;201.58
OFF-FA-10000585;Office Supplies;Fasteners;OIC Bulk Pack Metal Binder Clips;5.58
OFF-PA-10004000;Office Supplies;Paper;While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle;4.73
FUR-FU-10000087;Furniture;Furnishings;"Executive Impressions 14"" Two-Color Numerals Wall Clock";18.18
TEC-MA-10001148;Technology;Machines;Swingline SM12-08 MicroCut Jam Free Shredder;449.1
OFF-AR-10001958;Office Supplies;Art;Stanley Bostitch Contemporary Electric Pencil Sharpeners;13.58
OFF-AR-10001026;Office Supplies;Art;Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow;2.2
FUR-TA-10003748;Furniture;Tables;Bevis 36 x 72 Conference Tables;99.59
OFF-ST-10002485;Office Supplies;Storage;Rogers Deluxe File Chest;21.98
FUR-CH-10004860;Furniture;Chairs;Global Low Back Tilter Chair;70.69
FUR-CH-10004477;Furniture;Chairs;Global Push Button Manager's Chair, Indigo;48.71
OFF-BI-10001679;Office Supplies;Binders;GBC Instant Index System for Binding Systems;5.33
FUR-TA-10001705;Furniture;Tables;Bush Advantage Collection Round Conference Table;233.86
FUR-TA-10003473;Furniture;Tables;Bretford Rectangular Conference Table Tops;300.9
FUR-FU-10004017;Furniture;Furnishings;"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""";76.14
TEC-AC-10003832;Technology;Accessories;Logitech P710e Mobile Speakerphone;66.26
OFF-PA-10002479;Office Supplies;Paper;Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright);5.28
OFF-PA-10003349;Office Supplies;Paper;Xerox 1957;12.96
FUR-FU-10000576;Furniture;Furnishings;Luxo Professional Fluorescent Magnifier Lamp with Clamp-Mount Base;335.74
FUR-FU-10004351;Furniture;Furnishings;Staple-based wall hangings;11.69
TEC-PH-10000011;Technology;Phones;PureGear Roll-On Screen Protector;31.98
FUR-TA-10002607;Furniture;Tables;KI Conference Tables;35.45
FUR-FU-10002505;Furniture;Furnishings;Eldon 100 Class Desk Accessories;4.04
OFF-ST-10002276;Office Supplies;Storage;Safco Steel Mobile File Cart;66.69
OFF-PA-10004082;Office Supplies;Paper;Adams Telephone Message Book w/Frequently-Called Numbers Space, 400 Messages per Book;7.98
OFF-AP-10002945;Office Supplies;Appliances;Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room;601.3
FUR-CH-10002965;Furniture;Chairs;Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black;281.37
OFF-PA-10004569;Office Supplies;Paper;"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page";7.61
OFF-ST-10001228;Office Supplies;Storage;Fellowes Personal Hanging Folder Files, Navy;15.58
OFF-EN-10003296;Office Supplies;Envelopes;Tyvek Side-Opening Peel & Seel Expanding Envelopes;180.96
OFF-ST-10004804;Office Supplies;Storage;"Belkin 19"" Vented Equipment Shelf, Black";82.37
TEC-PH-10001580;Technology;Phones;Logitech Mobile Speakerphone P710e - speaker phone;107.98
TEC-AC-10000290;Technology;Accessories;Sabrent 4-Port USB 2.0 Hub;6.79
OFF-ST-10002790;Office Supplies;Storage;Safco Industrial Shelving;73.85
OFF-BI-10003460;Office Supplies;Binders;Acco 3-Hole Punch;0.88
OFF-AP-10002203;Office Supplies;Appliances;Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac;1.62
TEC-MA-10003353;Technology;Machines;Xerox WorkCentre 6505DN Laser Multifunction Printer;2519.96
TEC-PH-10001433;Technology;Phones;Cisco Small Business SPA 502G VoIP phone;61.54
TEC-AC-10004469;Technology;Accessories;Microsoft Sculpt Comfort Mouse;63.92
OFF-AR-10003602;Office Supplies;Art;Quartet Omega Colored Chalk, 12/Pack;4.67
OFF-FA-10003472;Office Supplies;Fasteners;Bagged Rubber Bands;3.02
OFF-ST-10004180;Office Supplies;Storage;Safco Commercial Shelving;37.21
OFF-EN-10004386;Office Supplies;Envelopes;Recycled Interoffice Envelopes with String and Button Closure, 10 x 13;47.98
OFF-ST-10003208;Office Supplies;Storage;Adjustable Depth Letter/Legal Cart;362.92
TEC-AC-10003628;Technology;Accessories;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;29.99
FUR-FU-10003274;Furniture;Furnishings;Regeneration Desk Collection;4.22
OFF-BI-10002557;Office Supplies;Binders;Presstex Flexible Ring Binders;1.37
OFF-PA-10002615;Office Supplies;Paper;"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled";3.53
OFF-AR-10001427;Office Supplies;Art;Newell 330;5.98
OFF-PA-10000673;Office Supplies;Paper;Post-it “Important Message” Note Pad, Neon Colors, 50 Sheets/Pad;11.65
OFF-PA-10004470;Office Supplies;Paper;"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages";11.36
OFF-ST-10000876;Office Supplies;Storage;Eldon Simplefile Box Office;9.95
OFF-LA-10002043;Office Supplies;Labels;Avery 489;20.7
OFF-BI-10004967;Office Supplies;Binders;Round Ring Binders;1.87
TEC-PH-10001760;Technology;Phones;Bose SoundLink Bluetooth Speaker;318.4
FUR-TA-10002903;Furniture;Tables;"Bevis Round Bullnose 29"" High Table Top";181.8
OFF-PA-10000474;Office Supplies;Paper;Easy-staple paper;28.35
TEC-AC-10001956;Technology;Accessories;Microsoft Arc Touch Mouse;119.9
OFF-PA-10004100;Office Supplies;Paper;Xerox 216;15.55
OFF-BI-10000778;Office Supplies;Binders;GBC VeloBinder Electric Binding Machine;72.59
OFF-SU-10000646;Office Supplies;Supplies;Premier Automatic Letter Opener;240.37
OFF-FA-10002983;Office Supplies;Fasteners;Advantus SlideClip Paper Clips;10.23
OFF-LA-10004689;Office Supplies;Labels;Avery 512;11.56
TEC-AC-10002001;Technology;Accessories;Logitech Wireless Gaming Headset G930;255.98
FUR-BO-10004709;Furniture;Bookcases;Bush Westfield Collection Bookcases, Medium Cherry Finish;46.38
FUR-FU-10004091;Furniture;Furnishings;"Howard Miller 13"" Diameter Goldtone Round Wall Clock";18.84
FUR-CH-10001891;Furniture;Chairs;Global Deluxe Office Fabric Chairs;172.76
FUR-FU-10002918;Furniture;Furnishings;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;181.96
OFF-BI-10004593;Office Supplies;Binders;Ibico Laser Imprintable Binding System Covers;62.88
OFF-FA-10004854;Office Supplies;Fasteners;Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box;18.37
OFF-PA-10002105;Office Supplies;Paper;Xerox 223;6.48
OFF-ST-10002756;Office Supplies;Storage;"Tennsco Stur-D-Stor Boltless Shelving, 5 Shelves, 24"" Deep, Sand";270.62
OFF-PA-10004243;Office Supplies;Paper;Xerox 1939;37.94
FUR-FU-10001861;Furniture;Furnishings;Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts;7.76
OFF-BI-10002706;Office Supplies;Binders;Avery Premier Heavy-Duty Binder with Round Locking Rings;8.57
FUR-TA-10002533;Furniture;Tables;BPI Conference Tables;219.08
FUR-FU-10002671;Furniture;Furnishings;Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp;21.44
OFF-AR-10003651;Office Supplies;Art;Newell 350;5.25
OFF-BI-10001072;Office Supplies;Binders;GBC Clear Cover, 8-1/2 x 11, unpunched, 25 covers per pack;12.13
OFF-AR-10002135;Office Supplies;Art;Boston Heavy-Duty Trimline Electric Pencil Sharpeners;144.6
OFF-AR-10002804;Office Supplies;Art;Faber Castell Col-Erase Pencils;3.91
FUR-FU-10001918;Furniture;Furnishings;C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings;1.89
FUR-CH-10004086;Furniture;Chairs;Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs;408.42
FUR-FU-10001756;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany;15.23
OFF-LA-10000634;Office Supplies;Labels;Avery 509;2.61
FUR-FU-10001588;Furniture;Furnishings;Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black;58.36
TEC-PH-10002398;Technology;Phones;AT&T 1070 Corded Phone;178.38
OFF-PA-10001937;Office Supplies;Paper;Xerox 21;10.37
OFF-AR-10003373;Office Supplies;Art;Boston School Pro Electric Pencil Sharpener, 1670;74.35
FUR-CH-10002602;Furniture;Chairs;DMI Arturo Collection Mission-style Design Wood Chair;135.88
